L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,10,100,0,-20,FALSE,4.341648248
450,20,100,0,-20,FALSE,2.343437575
450,30,100,0,-20,FALSE,1.914306925
450,40,100,0,-20,FALSE,1.536803449
450,50,100,0,-20,FALSE,2.064220183
450,60,100,0,-20,FALSE,9.343724145
450,70,100,0,-20,FALSE,96.57848486
450,80,100,0,-20,FALSE,100.0656769
450,90,100,0,-20,FALSE,100.4105323
450,10,100,0,-10,FALSE,4.396135266
450,20,100,0,-10,FALSE,2.592239186
450,30,100,0,-10,FALSE,1.876432646
450,40,100,0,-10,FALSE,2.258439114
450,50,100,0,-10,FALSE,2.864608227
450,60,100,0,-10,FALSE,19.88322718
450,70,100,0,-10,FALSE,98.24911097
450,80,100,0,-10,FALSE,100.2374444
450,90,100,0,-10,FALSE,100.4234735
450,10,100,0,0,FALSE,4.481434059
450,20,100,0,0,FALSE,2.45908248
450,30,100,0,0,FALSE,2.22080544
450,40,100,0,0,FALSE,2.030456853
450,50,100,0,0,FALSE,3.797226208
450,60,100,0,0,FALSE,63.02021403
450,70,100,0,0,FALSE,98.37932845
450,80,100,0,0,FALSE,100.283111
450,90,100,0,0,FALSE,100.4403572
450,10,100,0,10,FALSE,4.415332363
450,20,100,0,10,FALSE,2.660082829
450,30,100,0,10,FALSE,1.971020669
450,40,100,0,10,FALSE,2.340087406
450,50,100,0,10,FALSE,4.232417844
450,60,100,0,10,FALSE,60.67382864
450,70,100,0,10,FALSE,97.79316608
450,80,100,0,10,FALSE,100.2233211
450,90,100,0,10,FALSE,100.4188407
450,10,100,0,20,FALSE,4.445514364
450,20,100,0,20,FALSE,2.597921663
450,30,100,0,20,FALSE,2.097235462
450,40,100,0,20,FALSE,2.19832736
450,50,100,0,20,FALSE,3.122130395
450,60,100,0,20,FALSE,40.67166162
450,70,100,0,20,FALSE,97.51051495
450,80,100,0,20,FALSE,99.99202456
450,90,100,0,20,FALSE,100.3990677
450,10,20,0,0,FALSE,4.096923322
450,20,20,0,0,FALSE,2.090843547
450,30,20,0,0,FALSE,1.385853633
450,40,20,0,0,FALSE,1.075954411
450,50,20,0,0,FALSE,0.912175138
450,60,20,0,0,FALSE,0.819040021
450,70,20,0,0,FALSE,0.704626821
450,80,20,0,0,FALSE,0.636613218
450,90,20,0,0,FALSE,0.626604124
450,10,40,0,0,FALSE,4.252981795
450,20,40,0,0,FALSE,2.219217308
450,30,40,0,0,FALSE,1.61745145
450,40,40,0,0,FALSE,1.166693304
450,50,40,0,0,FALSE,1.008237651
450,60,40,0,0,FALSE,0.969279661
450,70,40,0,0,FALSE,0.988524031
450,80,40,0,0,FALSE,0.986330849
450,90,40,0,0,FALSE,1.003297054
450,10,60,0,0,FALSE,4.375825627
450,20,60,0,0,FALSE,2.301458671
450,30,60,0,0,FALSE,1.676627704
450,40,60,0,0,FALSE,1.441290374
450,50,60,0,0,FALSE,1.320497799
450,60,60,0,0,FALSE,1.53682248
450,70,60,0,0,FALSE,1.590089885
450,80,60,0,0,FALSE,5.106162816
450,90,60,0,0,FALSE,83.74061313
450,10,80,0,0,FALSE,4.380616175
450,20,80,0,0,FALSE,2.490482234
450,30,80,0,0,FALSE,2.051635477
450,40,80,0,0,FALSE,1.825492561
450,50,80,0,0,FALSE,2.020979694
450,60,80,0,0,FALSE,3.865532777
450,70,80,0,0,FALSE,68.95808763
450,80,80,0,0,FALSE,96.70027498
450,90,80,0,0,FALSE,99.43301618
450,10,100,0,0,FALSE,4.523959647
450,20,100,0,0,FALSE,2.647384226
450,30,100,0,0,FALSE,2.022185659
450,40,100,0,0,FALSE,2.200693697
450,50,100,0,0,FALSE,4.072643708
450,60,100,0,0,FALSE,51.91440844
450,70,100,0,0,FALSE,98.4475094
450,80,100,0,0,FALSE,100.2656334
450,90,100,0,0,FALSE,100.4301646
450,10,20,0,0,FALSE,4.157834665
450,20,20,0,0,FALSE,2.12005717
450,30,20,0,0,FALSE,1.382927992
450,40,20,0,0,FALSE,1.115286217
450,50,20,0,0,FALSE,0.918777515
450,60,20,0,0,FALSE,0.822630294
450,70,20,0,0,FALSE,0.700553188
450,80,20,0,0,FALSE,0.642045003
450,90,20,0,0,FALSE,0.615302775
450,10,40,0,0,FALSE,4.105710241
450,20,40,0,0,FALSE,2.14084507
450,30,40,0,0,FALSE,1.634790042
450,40,40,0,0,FALSE,1.223119354
450,50,40,0,0,FALSE,1.070424335
450,60,40,0,0,FALSE,1.03037602
450,70,40,0,0,FALSE,0.868283836
450,80,40,0,0,FALSE,1.047787893
450,90,40,0,0,FALSE,1.140523049
450,10,60,0,0,FALSE,4.206132606
450,20,60,0,0,FALSE,2.31204656
450,30,60,0,0,FALSE,1.664443852
450,40,60,0,0,FALSE,1.438763377
450,50,60,0,0,FALSE,1.493491957
450,60,60,0,0,FALSE,1.443918524
450,70,60,0,0,FALSE,1.885458939
450,80,60,0,0,FALSE,3.060615703
