,L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
47,500.0,60.0,100.0,0.0,0.0,false,73.82655639177726
48,150.0,70.0,100.0,0.0,0.0,false,98.51642850641667
49,200.0,70.0,100.0,0.0,0.0,false,98.55570213346677
50,250.0,70.0,100.0,0.0,0.0,false,98.43219469954197
51,300.0,70.0,100.0,0.0,0.0,false,98.75079930574586
52,350.0,70.0,100.0,0.0,0.0,false,98.54059609455292
53,400.0,70.0,100.0,0.0,0.0,false,98.55797796974267
54,450.0,70.0,100.0,0.0,0.0,false,98.73877578997875
55,500.0,70.0,100.0,0.0,0.0,false,98.89719285453883
56,150.0,10.0,100.0,0.0,0.0,false,4.648910411622276
57,200.0,10.0,100.0,0.0,0.0,false,4.423076923076923
58,250.0,10.0,100.0,0.0,0.0,false,4.356879705269902
59,300.0,10.0,100.0,0.0,0.0,false,4.506505871152015
60,350.0,10.0,100.0,0.0,0.0,false,4.50479233226837
61,400.0,10.0,100.0,0.0,0.0,false,4.4864605031244995
62,450.0,10.0,100.0,0.0,0.0,false,4.396984924623116
63,500.0,10.0,100.0,0.0,0.0,false,4.429873660642891
64,150.0,20.0,100.0,0.0,0.0,false,2.53603213357486
65,200.0,20.0,100.0,0.0,0.0,false,2.604954990838843
66,250.0,20.0,100.0,0.0,0.0,false,2.577734815530852
67,300.0,20.0,100.0,0.0,0.0,false,2.515874929668033
68,350.0,20.0,100.0,0.0,0.0,false,2.6123641083887716
69,400.0,20.0,100.0,0.0,0.0,false,2.6068987442378
70,450.0,20.0,100.0,0.0,0.0,false,2.653386454183267
71,500.0,20.0,100.0,0.0,0.0,false,2.5367587655517854
72,150.0,30.0,100.0,0.0,0.0,false,2.041467304625199
73,200.0,30.0,100.0,0.0,0.0,false,2.1285563751317174
74,250.0,30.0,100.0,0.0,0.0,false,1.9896792041283184
75,300.0,30.0,100.0,0.0,0.0,false,2.1374127178721816
76,350.0,30.0,100.0,0.0,0.0,false,1.9057224758466929
77,400.0,30.0,100.0,0.0,0.0,false,2.2202204323866046
78,450.0,30.0,100.0,0.0,0.0,false,2.066357778132822
79,500.0,30.0,100.0,0.0,0.0,false,2.1816256288059304
80,150.0,40.0,100.0,0.0,0.0,false,2.1033725803232888
81,200.0,40.0,100.0,0.0,0.0,false,2.2553410757461654
82,250.0,40.0,100.0,0.0,0.0,false,2.1153614578733997
83,300.0,40.0,100.0,0.0,0.0,false,1.9528619528619526
84,350.0,40.0,100.0,0.0,0.0,false,2.0359810456991405
85,400.0,40.0,100.0,0.0,0.0,false,2.1595151125918197
86,450.0,40.0,100.0,0.0,0.0,false,2.0138778114531823
87,500.0,40.0,100.0,0.0,0.0,false,1.9699097291875627
88,150.0,50.0,100.0,0.0,0.0,false,4.459762744469381
89,200.0,50.0,100.0,0.0,0.0,false,2.7640671273445214
90,250.0,50.0,100.0,0.0,0.0,false,3.3303588501497865
91,300.0,50.0,100.0,0.0,0.0,false,2.518827111039897
92,350.0,50.0,100.0,0.0,0.0,false,3.2522399005197205
93,400.0,50.0,100.0,0.0,0.0,false,3.3349397590361445
94,450.0,50.0,100.0,0.0,0.0,false,3.162395889842678
95,500.0,50.0,100.0,0.0,0.0,false,2.8632945562054113
96,150.0,60.0,100.0,0.0,0.0,false,67.00831098483843
97,200.0,60.0,100.0,0.0,0.0,false,76.96183165835774
98,250.0,60.0,100.0,0.0,0.0,false,33.801619970787414
99,300.0,60.0,100.0,0.0,0.0,false,68.53102238290181
100,350.0,60.0,100.0,0.0,0.0,false,68.30282641519429
101,400.0,60.0,100.0,0.0,0.0,false,81.27250582503707
102,450.0,60.0,100.0,0.0,0.0,false,74.57004419359991
103,500.0,60.0,100.0,0.0,0.0,false,73.80648591174906
104,150.0,70.0,100.0,0.0,0.0,false,98.65062665812826
105,200.0,70.0,100.0,0.0,0.0,false,98.70041039671683
106,250.0,70.0,100.0,0.0,0.0,false,98.39492943617336
107,300.0,70.0,100.0,0.0,0.0,false,98.71894232961021
108,350.0,70.0,100.0,0.0,0.0,false,98.49877940270585
109,400.0,70.0,100.0,0.0,0.0,false,98.72028417888697
110,450.0,70.0,100.0,0.0,0.0,false,98.70020102339181
111,500.0,70.0,100.0,0.0,0.0,false,98.75999273255815
112,150.0,10.0,100.0,0.0,0.0,false,4.449284380833852
113,200.0,10.0,100.0,0.0,0.0,false,4.571151671781618
114,250.0,10.0,100.0,0.0,0.0,false,4.4804881965633525
115,300.0,10.0,100.0,0.0,0.0,false,4.421448730009407
116,350.0,10.0,100.0,0.0,0.0,false,4.549107860472593
117,400.0,10.0,100.0,0.0,0.0,false,4.525316455696203
118,450.0,10.0,100.0,0.0,0.0,false,4.4958253050738595
119,500.0,10.0,100.0,0.0,0.0,false,4.375598850207601
