L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,60,100,0,0,FALSE,76.59490264
450,61,100,0,0,FALSE,80.75049238
450,62,100,0,0,FALSE,89.09174948
450,63,100,0,0,FALSE,90.34454721
450,64,100,0,0,FALSE,94.24190971
450,65,100,0,0,FALSE,95.33263245
450,66,100,0,0,FALSE,95.61812689
450,67,100,0,0,FALSE,97.57283868
450,68,100,0,0,FALSE,97.4118256
450,69,100,0,0,FALSE,98.20749718
450,70,100,0,0,FALSE,98.74580221
450,50,100,10,0,FALSE,3.599974423
450,51,100,10,0,FALSE,3.588359024
450,52,100,10,0,FALSE,3.005254586
450,53,100,10,0,FALSE,3.097545512
450,54,100,10,0,FALSE,5.646084735
450,55,100,10,0,FALSE,5.251280271
450,56,100,10,0,FALSE,4.092637793
450,57,100,10,0,FALSE,5.472289022
450,58,100,10,0,FALSE,9.480308007
450,59,100,10,0,FALSE,9.753317593
450,60,100,10,0,FALSE,19.82928256
450,61,100,10,0,FALSE,28.04122093
450,62,100,10,0,FALSE,78.82186858
450,63,100,10,0,FALSE,87.57825371
450,64,100,10,0,FALSE,89.00067573
450,65,100,10,0,FALSE,88.17493939
450,66,100,10,0,FALSE,95.01352265
450,67,100,10,0,FALSE,96.86287499
450,68,100,10,0,FALSE,96.39855379
450,69,100,10,0,FALSE,97.50548056
450,70,100,10,0,FALSE,98.10319185
450,50,100,20,0,FALSE,2.636975328
450,51,100,20,0,FALSE,3.86227452
450,52,100,20,0,FALSE,4.65896271
450,53,100,20,0,FALSE,3.245693563
450,54,100,20,0,FALSE,5.178524355
450,55,100,20,0,FALSE,4.941692645
450,56,100,20,0,FALSE,3.599302439
450,57,100,20,0,FALSE,6.154832952
450,58,100,20,0,FALSE,5.115907274
450,59,100,20,0,FALSE,12.20189921
450,60,100,20,0,FALSE,13.59431737
450,61,100,20,0,FALSE,28.2844663
450,62,100,20,0,FALSE,77.50044891
450,63,100,20,0,FALSE,80.23441258
450,64,100,20,0,FALSE,88.01172496
450,65,100,20,0,FALSE,91.06253527
450,66,100,20,0,FALSE,92.1920031
450,67,100,20,0,FALSE,94.99537926
450,68,100,20,0,FALSE,95.66317565
450,69,100,20,0,FALSE,96.69644712
450,70,100,20,0,FALSE,97.17304007
450,50,100,-20,0,FALSE,2.620101238
